country,year,gdp,debt_hh,debt_corp,debt_gov,debt_hh_lag1,debt_corp_lag1,debt_gov_lag1,growth
Australia,1996,542.4,56.57,59.33,29.35,,,,
Australia,1997,573.07,59.98,61.28,25.91,56.57,59.33,29.35,5.500413667599968
Australia,1998,606.13,63.55,62.99,23.7,59.98,61.28,25.91,5.60866112128382
Australia,1999,638.38,67.93,63.9,22.54,63.55,62.99,23.7,5.18392328090318
Australia,2000,687.43,70.18,68.72,19.5,67.93,63.9,22.54,7.402628885103013
Australia,2001,730.49,73.88,65.36,17.11,70.18,68.72,19.5,6.075553566803471
Australia,2002,782.37,81.39,63.69,15.01,73.88,65.36,17.11,6.86122325840719
Australia,2003,830.19,90.62,62.04,13.19,81.39,63.69,15.01,5.932681582890975
Australia,2004,894.33,96.79,61.93,11.91,90.62,62.04,13.19,7.4420244323389895
Australia,2005,964.21,101.33,67.78,10.86,96.79,61.93,11.91,7.5234278630511575
Australia,2006,1039.95,106.11,72.42,9.94,101.33,67.78,10.86,7.561880084660633
Australia,2007,1133.01,109.17,78.25,9.67,106.11,72.42,9.94,8.57051730577778
Australia,2008,1235.36,107.25,80.78,11.74,109.17,78.25,9.67,8.64846174461178
Australia,2009,1264.78,112.2,74.16,16.62,107.25,80.78,11.74,2.3535768433010418
Australia,2010,1364.46,111.11,66.82,20.35,112.2,74.16,16.62,7.586055195787722
Australia,2011,1468.21,109.01,64.35,24.04,111.11,66.82,20.35,7.328522576325636
Australia,2012,1515.87,109.89,65.59,27.52,109.01,64.35,24.04,3.1945559831864756
Australia,2013,1569.45,112.19,69.21,30.47,109.89,65.59,27.52,3.4735707948652106
Australia,2014,1613.99,115.87,70.94,34.04,112.19,69.21,30.47,2.7984134528669102
Australia,2015,1639.52,120.98,76.17,37.73,115.87,70.94,34.04,1.5694142027572688
Australia,2016,1697.37,123.76,75.14,40.62,120.98,76.17,37.73,3.4676478238195863
Australia,2017,1801.2,123.03,71.11,41.2,123.76,75.14,40.62,5.937311513781296
Australia,2018,1894.25,122.26,71.57,41.76,123.03,71.11,41.2,5.0369872384066205
Australia,2019,1993.43,118.98,70.58,46.72,122.26,71.57,41.76,5.103379127251895
Australia,2020,1973.59,122.34,69.42,57.09,118.98,70.58,46.72,-1.0002553764545397
Australia,2021,2202.57,117.69,63.73,55.54,122.34,69.42,57.09,10.977064105167322
Australia,2022,2482.84,110.7,60.06,50.22,117.69,63.73,55.54,11.977820588118693
Australia,2023,2620.92,109.82,59.14,48.97,110.7,60.06,50.22,5.412233490400364
Australia,2024,2722.07,112.15,60.84,49.83,109.82,59.14,48.97,3.786721910944202
Austria,1996,181.54,43.98,70.49,68.18,,,,
Austria,1997,187.78,44.09,74.82,63.37,43.98,70.49,68.18,3.379504973192038
Austria,1998,195.27,43.42,76.36,69.2,44.09,74.82,63.37,3.9112151422004082
Austria,1999,203.07,45.45,80.27,61.34,43.42,76.36,69.2,3.9167530936220274
Austria,2000,212.41,45.24,87.77,66.11,45.45,80.27,61.34,4.496762205016758
Austria,2001,219.37,45.51,89.24,67.24,45.24,87.77,66.11,3.2241432698802974
Austria,2002,225.09,46.39,88.07,67.44,45.51,89.24,67.24,2.5740520288151103
Austria,2003,230.54,46.87,90.13,66.41,46.39,88.07,67.44,2.3924060947119408
Austria,2004,240.54,47.89,86.98,65.91,46.87,90.13,66.41,4.246201270960359
Austria,2005,252.36,52.18,87.11,69.43,47.89,86.98,65.91,4.7970243620138575
Austria,2006,265.93,52.71,84.08,68.18,52.18,87.11,69.43,5.237647675223833
Austria,2007,282.21,51.86,89.03,65.81,52.71,84.08,68.18,5.941835839712262
Austria,2008,291.85,52.4,90.71,69.53,51.86,89.03,65.81,3.3588496997830397
Austria,2009,286.27,53.69,91.93,80.75,52.4,90.71,69.53,-1.9304550226442174
Austria,2010,294.05,54.77,93.22,83.65,53.69,91.93,80.75,2.6814399482606888
Austria,2011,308.17,53.4,92.41,83.36,54.77,93.22,83.65,4.6901757852257475
Austria,2012,316.59,52.16,91.87,82.94,53.4,92.41,83.36,2.695598259288623
Austria,2013,321.19,51.73,96.74,82.43,52.16,91.87,82.94,1.442528698653689
Austria,2014,330.11,51.57,93.09,85.21,51.73,96.74,82.43,2.7393083913000993
Austria,2015,342.08,51.31,92.71,85.61,51.57,93.09,85.21,3.561869558603359
Austria,2016,355.67,50.99,92.71,83.42,51.31,92.71,85.61,3.8958706824273825
Austria,2017,367.29,50.23,92.57,79.06,50.99,92.71,83.42,3.2148392092979705
Austria,2018,383.23,49.51,93.31,74.59,50.23,92.57,79.06,4.248360437862697
Austria,2019,395.71,49.39,93.05,71.01,49.51,93.31,74.59,3.204628860995218
Austria,2020,380.32,52.8,100.14,83.18,49.39,93.05,71.01,-3.9668616130628997
Austria,2021,406.23,51.69,101.36,82.39,52.8,100.14,83.18,6.590649805095872
Austria,2022,448.19,48.3,92.91,78.34,51.69,101.36,82.39,9.829774798698487
Austria,2023,473.85,44.94,88.88,78.4,48.3,92.91,78.34,5.567356626637654
Austria,2024,481.74,44.01,89.0,81.21,44.94,88.88,78.4,1.6513733508443096
Belgium,1996,214.29,39.4,71.05,129.0,,,,
Belgium,1997,224.1,40.26,77.3,124.27,39.4,71.05,129.0,4.476214297189074
Belgium,1998,232.62,41.75,82.0,119.19,40.26,77.3,124.27,3.7313840104011398
Belgium,1999,242.31,42.09,94.18,115.36,41.75,82.0,119.19,4.081167721142176
Belgium,2000,256.38,40.79,105.41,109.59,42.09,94.18,115.36,5.644282076167428
Belgium,2001,264.34,39.11,113.06,108.22,40.79,105.41,109.59,3.0575434445671235
Belgium,2002,273.26,39.35,109.83,105.44,39.11,113.06,108.22,3.318756958068203
Belgium,2003,281.2,39.54,116.12,101.66,39.35,109.83,105.44,2.8642437026167755
Belgium,2004,296.82,40.52,118.0,97.17,39.54,116.12,101.66,5.405973453116264
Belgium,2005,310.04,43.3,113.56,95.14,40.52,118.0,97.17,4.357542694563854
Belgium,2006,325.15,45.52,113.55,91.49,43.3,113.56,95.14,4.758529290184921
Belgium,2007,343.62,47.09,122.99,87.32,45.52,113.55,91.49,5.524978131866032
Belgium,2008,351.74,49.87,142.22,93.16,47.09,122.99,87.32,2.335587067439704
Belgium,2009,347.74,52.09,148.6,99.85,49.87,142.22,93.16,-1.143719220857431
Belgium,2010,363.24,52.98,136.42,100.25,52.09,148.6,99.85,4.360869872198414
Belgium,2011,378.75,54.99,143.21,102.74,52.98,136.42,100.25,4.181258400195098
Belgium,2012,387.94,55.42,147.78,104.33,54.99,143.21,102.74,2.397433166656704
Belgium,2013,394.62,56.11,148.04,105.02,55.42,147.78,104.33,1.707258805116929
Belgium,2014,404.96,57.89,146.54,106.52,56.11,148.04,105.02,2.5865020255499083
Belgium,2015,415.54,58.56,149.21,105.53,57.89,146.54,106.52,2.5790582419825903
Belgium,2016,428.47,58.97,169.75,105.4,58.56,149.21,105.53,3.0641844701651877
Belgium,2017,443.41,59.55,157.02,102.4,58.97,169.75,105.4,3.427412600915325
Belgium,2018,459.49,59.72,151.35,99.98,59.55,157.02,102.4,3.5622328845847484
Belgium,2019,479.45,60.86,150.74,97.46,59.72,151.35,99.98,4.252243482639795
Belgium,2020,463.75,65.33,155.64,111.1,60.86,150.74,97.46,-3.3293999678045694
Belgium,2021,506.02,63.06,143.91,108.37,65.33,155.64,111.1,8.723058027640107
Belgium,2022,563.54,59.55,131.47,102.56,63.06,143.91,108.37,10.766212167818079
Belgium,2023,596.32,57.63,125.68,103.12,59.55,131.47,102.56,5.65391198547216
Belgium,2024,614.54,57.35,122.48,104.47,57.63,125.68,103.12,3.009658472865606
Canada,1996,859.83,61.13,80.92,100.24,,,,
Canada,1997,906.93,61.98,83.14,95.27,61.13,80.92,100.24,5.333057433974453
Canada,1998,940.55,64.3,87.0,93.29,61.98,83.14,95.27,3.6399540910499795
Canada,1999,1007.93,63.27,81.34,88.97,64.3,87.0,93.29,6.918919123646283
Canada,2000,1106.07,61.34,82.6,80.44,63.27,81.34,88.97,9.291446944322868
Canada,2001,1144.54,62.77,87.83,81.46,61.34,82.6,80.44,3.418961732289194
Canada,2002,1193.69,64.94,89.81,79.6,62.77,87.83,81.46,4.204654021005627
Canada,2003,1254.75,66.82,84.6,75.91,64.94,89.81,79.6,4.98869997833733
Canada,2004,1335.73,69.61,84.13,71.89,66.82,84.6,75.91,6.254160932905517
Canada,2005,1421.59,72.26,77.42,70.64,69.61,84.13,71.89,6.229800462408441
Canada,2006,1496.6,75.9,78.26,69.92,72.26,77.42,70.64,5.141990515807571
Canada,2007,1577.66,80.73,81.12,67.18,75.9,78.26,69.92,5.274686793325856
Canada,2008,1657.04,83.47,83.97,70.36,80.73,81.12,67.18,4.909014156775093
Canada,2009,1571.33,94.91,88.33,81.8,83.47,83.97,70.36,-5.311048366223847
Canada,2010,1666.05,94.86,85.12,83.98,94.91,88.33,81.8,5.853316079620985
Canada,2011,1774.06,93.99,85.41,84.29,94.86,85.12,83.98,6.281514988781645
Canada,2012,1827.2,95.26,89.54,87.15,93.99,85.41,84.29,2.95140352926353
Canada,2013,1902.25,95.4,94.92,87.61,95.26,89.54,87.15,4.025265559494162
Canada,2014,1994.9,95.14,99.0,85.54,95.4,94.92,87.61,4.7556527697732776
Canada,2015,1990.44,100.71,108.59,92.03,95.14,99.0,85.54,-0.2238203948413897
Canada,2016,2025.54,104.18,109.58,92.4,100.71,108.59,92.03,1.7480611852119132
Canada,2017,2140.64,103.6,109.99,90.94,104.18,109.58,92.4,5.526851806723876
Canada,2018,2235.68,103.04,113.01,90.78,103.6,109.99,90.94,4.344058260682893
Canada,2019,2313.56,103.52,117.64,90.21,103.04,113.01,90.78,3.4242031409544182
Canada,2020,2220.53,112.13,132.37,118.07,103.52,117.64,90.21,-4.10415576301757
Canada,2021,2535.82,105.55,125.15,112.62,112.13,132.37,118.07,13.277115000857709
Canada,2022,2850.94,100.19,114.99,104.21,105.55,125.15,112.62,11.713170832385256
