Pays,Year,"Total private debt,  all instruments (percent of GDP)","Total private debt,  loans and debt securities (percent of GDP)","Household debt, all instruments (percent of GDP)","Household debt, loans and debt securities (percent of GDP)","Non-financial corporations debt, all instruments (percent of GDP)","Non-financial corporations debt, loans and debt securities (percent of GDP)",General government debt (percent of GDP),Central government debt (percent of GDP),Nominal gross domestic product (billions)
Australia,1996,,"115,90",,"56,57",,"59,33","29,35","21,38","542,40"
Australia,1997,,"121,26",,"59,98",,"61,28","25,91","20,51","573,07"
Australia,1998,,"126,54",,"63,55",,"62,99","23,70","16,28","606,13"
Australia,1999,,"131,83",,"67,93",,"63,90","22,54","15,44","638,38"
Australia,2000,,"138,90",,"70,18",,"68,72","19,50","13,69","687,43"
Australia,2001,,"139,24",,"73,88",,"65,36","17,11","11,98","730,49"
Australia,2002,,"145,08",,"81,39",,"63,69","15,01","10,31","782,37"
Australia,2003,,"152,67",,"90,62",,"62,04","13,19","8,97","830,19"
Australia,2004,,"158,73",,"96,79",,"61,93","11,91","8,08","894,33"
Australia,2005,,"169,11",,"101,33",,"67,78","10,86","7,34","964,21"
Australia,2006,,"178,54",,"106,11",,"72,42","9,94","6,55","1039,95"
Australia,2007,,"187,42",,"109,17",,"78,25","9,67","6,07","1133,01"
Australia,2008,,"188,04",,"107,25",,"80,78","11,74","7,60","1235,36"
Australia,2009,,"186,36",,"112,20",,"74,16","16,62","11,48","1264,78"
Australia,2010,,"177,93",,"111,11",,"66,82","20,35","14,23","1364,46"
Australia,2011,,"173,35",,"109,01",,"64,35","24,04","16,98","1468,21"
Australia,2012,,"175,48",,"109,89",,"65,59","27,52","19,23","1515,87"
Australia,2013,,"181,40",,"112,19",,"69,21","30,47","21,24","1569,45"
Australia,2014,,"186,81",,"115,87",,"70,94","34,04","24,59","1613,99"
Australia,2015,,"197,15",,"120,98",,"76,17","37,73","28,45","1639,52"
Australia,2016,,"198,90",,"123,76",,"75,14","40,62","31,62","1697,37"
Australia,2017,,"194,15",,"123,03",,"71,11","41,20","32,38","1801,20"
Australia,2018,,"193,82",,"122,26",,"71,57","41,76","32,92","1894,25"
Australia,2019,,"189,55",,"118,98",,"70,58","46,72","36,58","1993,43"
Australia,2020,,"191,76",,"122,34",,"69,42","57,09","43,63","1973,59"
Australia,2021,,"181,42",,"117,69",,"63,73","55,54","41,01","2202,57"
Australia,2022,,"170,76",,"110,70",,"60,06","50,22","35,68","2482,84"
Australia,2023,,"168,96",,"109,82",,"59,14","48,97","35,62","2620,92"
Australia,2024,,"172,99",,"112,15",,"60,84","49,83","36,79","2722,07"
Austria,1996,"125,17","114,46","43,17","43,98","82,00","70,49","68,18","55,92","181,54"
Austria,1997,"130,19","118,91","43,30","44,09","86,89","74,82","63,37","57,12","187,78"
Austria,1998,"130,62","119,77","42,66","43,42","87,96","76,36","69,20","57,15","195,27"
Austria,1999,"137,02","125,72","44,66","45,45","92,37","80,27","61,34","58,10","203,07"
Austria,2000,"144,39","133,01","45,40","45,24","98,98","87,77","66,11","56,83","212,41"
Austria,2001,"146,72","134,74","45,68","45,51","101,04","89,24","67,24","55,35","219,37"
Austria,2002,"147,51","134,47","46,61","46,39","100,91","88,07","67,44","55,07","225,09"
Austria,2003,"151,60","137,00","47,11","46,87","104,50","90,13","66,41","55,03","230,54"
Austria,2004,"149,63","134,86","48,10","47,89","101,52","86,98","65,91","56,35","240,54"
Austria,2005,"154,18","139,30","52,57","52,18","101,60","87,11","69,43","56,00","252,36"
Austria,2006,"153,23","136,79","53,09","52,71","100,14","84,08","68,18","54,62","265,93"
Austria,2007,"157,86","140,89","52,30","51,86","105,57","89,03","65,81","52,22","282,21"
Austria,2008,"159,76","143,11","52,93","52,40","106,84","90,71","69,53","55,50","291,85"
Austria,2009,"160,72","145,62","54,13","53,69","106,59","91,93","80,75","58,93","286,27"
Austria,2010,"165,14","147,99","55,22","54,77","109,92","93,22","83,65","60,12","294,05"
Austria,2011,"163,27","145,81","53,81","53,40","109,46","92,41","83,36","59,44","308,17"
Austria,2012,"164,17","144,03","53,34","52,16","110,83","91,87","82,94","59,87","316,59"
Austria,2013,"171,06","148,47","53,00","51,73","118,06","96,74","82,43","60,38","321,19"
Austria,2014,"166,07","144,66","52,62","51,57","113,45","93,09","85,21","59,44","330,11"
Austria,2015,"164,08","144,01","52,32","51,31","111,76","92,71","85,61","58,21","342,08"
Austria,2016,"164,20","143,70","51,85","50,99","112,35","92,71","83,42","58,41","355,67"
Austria,2017,"163,65","142,80","51,08","50,23","112,57","92,57","79,06","57,51","367,29"
Austria,2018,"165,11","142,83","50,42","49,51","114,69","93,31","74,59","55,23","383,23"
Austria,2019,"162,94","142,44","50,43","49,39","112,52","93,05","71,01","52,76","395,71"
Austria,2020,"173,78","152,94","54,01","52,80","119,77","100,14","83,18","62,57","380,32"
Austria,2021,"174,81","153,05","52,77","51,69","122,05","101,36","82,39","62,42","406,23"
Austria,2022,"162,16","141,21","49,25","48,30","112,91","92,91","78,34","60,44","448,19"
Austria,2023,"152,33","133,83","45,96","44,94","106,37","88,88","78,40","59,78","473,85"
Austria,2024,"152,23","133,01","44,97","44,01","107,26","89,00","81,21","62,12","481,74"
Belgium,1996,"158,19","110,45","42,34","39,40","115,86","71,05","129,00","114,05","214,29"
Belgium,1997,"172,33","117,56","43,23","40,26","129,10","77,30","124,27","111,37","224,10"
Belgium,1998,"162,40","123,75","42,67","41,75","119,73","82,00","119,19","106,87","232,62"
Belgium,1999,"176,65","136,27","43,28","42,09","133,37","94,18","115,36","103,87","242,31"
Belgium,2000,"186,72","146,20","41,80","40,79","144,92","105,41","109,59","98,93","256,38"
