Pays,Year,"Total private debt,  all instruments (percent of GDP)","Total private debt,  loans and debt securities (percent of GDP)","Household debt, all instruments (percent of GDP)","Household debt, loans and debt securities (percent of GDP)","Non-financial corporations debt, all instruments (percent of GDP)","Non-financial corporations debt, loans and debt securities (percent of GDP)",Public sector debt (percent of GDP),Nonfinancial public sector debt (percent of GDP),General government debt (percent of GDP),Central government debt (percent of GDP),Nominal gross domestic product (billions)
Australia,1950,,,,,,,,,,"109,62","8,41"
Australia,1951,,,,,,,,,,"86,94","9,21"
Australia,1952,,,,,,,,,,"85,92","9,65"
Australia,1953,,"52,79",,,,,,,,"79,73","10,53"
Australia,1954,,"56,93",,,,,,,,"76,71","11,47"
Australia,1955,,"61,56",,,,,,,,"74,85","12,44"
Australia,1956,,"57,48",,,,,,,,"71,69","13,35"
Australia,1957,,"56,43",,,,,,,,"67,61","13,56"
Australia,1958,,"56,97",,,,,,,,"65,94","14,68"
Australia,1959,,"51,74",,,,,,,,"62,28","16,24"
Australia,1960,,"54,42",,,,,,,,"48,25","17,18"
Australia,1961,,"56,04",,,,,,,,"49,29","17,28"
Australia,1962,,"54,23",,,,,,,,"50,24","18,59"
Australia,1963,,"54,31",,,,,,,,"47,51","20,40"
Australia,1964,,"54,83",,,,,,,,"44,93","22,40"
Australia,1965,,"58,44",,,,,,,,"43,66","24,24"
Australia,1966,,"60,48",,,,,,,,"42,41","25,85"
Australia,1967,,"62,43",,,,,,,,"40,46","28,24"
Australia,1968,,"64,50",,,,,,,,"39,43","31,03"
Australia,1969,,"63,54",,,,,,,,"36,74","34,69"
Australia,1970,,"62,55",,,,,,,,"34,90","38,48"
Australia,1971,,"61,92",,,,,,,,"32,23","42,49"
Australia,1972,,"62,84",,,,,,,,"30,67","46,36"
Australia,1973,,"67,34",,,,,,,,"27,31","54,90"
Australia,1974,,"72,54",,,,,,,,"22,33","65,52"
Australia,1975,,"71,84",,,,,,,,"23,60","76,44"
Australia,1976,,"71,13",,,,,,,,"22,94","90,14"
Australia,1977,,"69,95",,"34,25",,"35,71",,,,"23,60","100,33"
Australia,1978,,"73,03",,"36,46",,"36,56",,,,"24,69","111,05"
Australia,1979,,"74,60",,"37,17",,"37,43",,,,"22,85","126,55"
Australia,1980,,"77,31",,"38,02",,"39,29",,,,"21,21","142,98"
Australia,1981,,"80,02",,"38,57",,"41,45",,,,"19,10","163,93"
Australia,1982,,"83,94",,"38,58",,"45,36",,,,"16,81","183,85"
Australia,1983,,"87,53",,"39,25",,"48,28",,,,"20,96","198,89"
Australia,1984,,"88,30",,"39,90",,"48,40",,,,"22,28","224,13"
Australia,1985,,"95,19",,"42,58",,"52,61",,,,"23,99","248,84"
Australia,1986,,"106,75",,"43,36",,"63,39",,,,"25,47","270,51"
Australia,1987,,"112,52",,"42,24",,"70,27",,,,"25,21","304,06"
Australia,1988,,"117,97",,"42,25",,"75,72",,,,"20,49","345,74"
Australia,1989,,"119,44",,"44,59",,"74,85",,,"17,02","15,99","389,24"
Australia,1990,,"120,98",,"45,07",,"75,91",,,"16,41","12,07","414,94"
Australia,1991,,"120,25",,"46,95",,"73,31",,,"21,61","11,91","416,44"
Australia,1992,,"117,74",,"46,91",,"70,83",,,"27,63","14,27","432,50"
Australia,1993,,"112,21",,"48,09",,"64,12",,,"30,67","17,69","454,58"
Australia,1994,,"112,91",,"51,44",,"61,47",,,"31,71","19,89","482,97"
Australia,1995,,"114,13",,"54,13",,"60,00",,,"31,14","22,12","511,43"
Australia,1996,,"115,90",,"56,57",,"59,33",,,"29,35","21,38","542,40"
Australia,1997,,"121,26",,"59,98",,"61,28",,,"25,91","20,51","573,07"
Australia,1998,,"126,54",,"63,55",,"62,99",,,"23,70","16,28","606,13"
Australia,1999,,"131,83",,"67,93",,"63,90",,,"22,54","15,44","638,38"
Australia,2000,,"138,90",,"70,18",,"68,72",,,"19,50","13,69","687,43"
Australia,2001,,"139,24",,"73,88",,"65,36",,,"17,11","11,98","730,49"
Australia,2002,,"145,08",,"81,39",,"63,69",,,"15,01","10,31","782,37"
Australia,2003,,"152,67",,"90,62",,"62,04",,,"13,19","8,97","830,19"
Australia,2004,,"158,73",,"96,79",,"61,93",,,"11,91","8,08","894,33"
Australia,2005,,"169,11",,"101,33",,"67,78",,,"10,86","7,34","964,21"
Australia,2006,,"178,54",,"106,11",,"72,42",,,"9,94","6,55","1039,95"
Australia,2007,,"187,42",,"109,17",,"78,25",,,"9,67","6,07","1133,01"
Australia,2008,,"188,04",,"107,25",,"80,78",,,"11,74","7,60","1235,36"
Australia,2009,,"186,36",,"112,20",,"74,16",,,"16,62","11,48","1264,78"
Australia,2010,,"177,93",,"111,11",,"66,82",,,"20,35","14,23","1364,46"
Australia,2011,,"173,35",,"109,01",,"64,35",,,"24,04","16,98","1468,21"
Australia,2012,,"175,48",,"109,89",,"65,59",,,"27,52","19,23","1515,87"
Australia,2013,,"181,40",,"112,19",,"69,21",,,"30,47","21,24","1569,45"
Australia,2014,,"186,81",,"115,87",,"70,94",,,"34,04","24,59","1613,99"
Australia,2015,,"197,15",,"120,98",,"76,17",,,"37,73","28,45","1639,52"
Australia,2016,,"198,90",,"123,76",,"75,14",,,"40,62","31,62","1697,37"
Australia,2017,,"194,15",,"123,03",,"71,11",,,"41,20","32,38","1801,20"
Australia,2018,,"193,82",,"122,26",,"71,57",,,"41,76","32,92","1894,25"
Australia,2019,,"189,55",,"118,98",,"70,58",,,"46,72","36,58","1993,43"
Australia,2020,,"191,76",,"122,34",,"69,42",,,"57,09","43,63","1973,59"
Australia,2021,,"181,42",,"117,69",,"63,73",,,"55,54","41,01","2202,57"
Australia,2022,,"170,76",,"110,70",,"60,06",,,"50,22","35,68","2482,84"
Australia,2023,,"168,96",,"109,82",,"59,14",,,"48,97","35,62","2620,92"
Australia,2024,,"172,99",,"112,15",,"60,84",,,"49,83","36,79","2722,07"
Austria,1950,,"19,48",,,,,,,,"21,04","3,97"
Austria,1951,,"19,47",,,,,,,,"14,52","5,28"
Austria,1952,,"17,44",,,,,,,,"12,91","6,12"
Austria,1953,,"19,90",,,,,,,,"15,80","6,29"
Austria,1954,,"23,29",,,,,,,,"13,74","7,06"
Austria,1955,,"24,85",,,,,,,,"11,44","8,09"
Austria,1956,,"25,35",,,,,,,,"10,51","9,00"
Austria,1957,,"26,41",,,,,,,,"7,99","9,96"
Austria,1958,,"28,41",,,,,,,,"10,98","10,35"
Austria,1959,,"30,65",,,,,,,,"13,07","11,01"
Austria,1960,,"32,78",,,,,,,,"13,20","12,29"
Austria,1961,,"34,37",,,,,,,,"11,91","13,63"
Austria,1962,,"35,48",,,,,,,,"11,54","14,49"
Austria,1963,,"36,72",,,,,,,,"11,66","15,62"
Austria,1964,,"39,09",,,,,,,,"11,61","17,10"
Austria,1965,,"42,51",,,,,,,,"11,05","18,59"
Austria,1966,,"45,28",,,,,,,,"10,51","20,26"
Austria,1967,,"46,42",,,,,,,,"11,67","21,54"
Austria,1968,,"47,94",,,,,,,,"12,51","23,14"
Austria,1969,,"51,17",,,,,,,,"12,54","25,27"
Austria,1970,,"53,23",,,,,,,"18,65","12,06","28,37"
Austria,1971,,"56,61",,,,,,,"17,39","10,65","31,97"
Austria,1972,,"59,97",,,,,,,"16,68","9,92","36,53"
Austria,1973,,"58,72",,,,,,,"16,69","9,88","41,37"
Austria,1974,,"59,05",,,,,,,"16,82","9,48","47,08"
Austria,1975,,"62,95",,,,,,,"22,84","14,60","49,97"
Austria,1976,,"69,36",,,,,,,"26,19","17,62","55,19"
Austria,1977,,"72,02",,,,,,,"28,49","19,59","61,05"
Austria,1978,,"78,47",,,,,,,"32,15","22,45","64,46"
Austria,1979,,"83,74",,,,,,,"34,13","23,86","70,34"
Austria,1980,,"87,98",,,,,,,"35,59","25,12","75,56"
Austria,1981,,"91,98",,,,,,,"37,47","26,68","80,44"
Austria,1982,,"91,01",,,,,,,"39,71","28,75","86,35"
Austria,1983,,"88,99",,,,,,,"43,65","32,87","92,02"
Austria,1984,,"91,77",,,,,,,"46,01","35,34","96,60"
Austria,1985,,"93,16",,,,,,,"47,77","37,52","101,81"
Austria,1986,,"94,93",,,,,,,"51,95","41,89","107,01"
Austria,1987,,"97,70",,,,,,,"55,49","45,62","111,11"
Austria,1988,,"100,04",,,,,,,"57,68","45,61","118,97"
Austria,1989,,"103,60",,,,,,,"56,64","45,69","127,26"
